Year,Labor Force Participation Rate
1/1/2004,66.1
1/1/2004,66
1/1/2004,66
1/1/2004,65.9
1/1/2004,66
1/1/2004,66.1
1/1/2004,66.1
1/1/2004,66
1/1/2004,65.8
1/1/2004,65.9
1/1/2004,66
1/1/2004,65.9
1/1/2005,65.8
1/1/2005,65.9
1/1/2005,65.9
1/1/2005,66.1
1/1/2005,66.1
1/1/2005,66.1
1/1/2005,66.1
1/1/2005,66.2
1/1/2005,66.1
1/1/2005,66.1
1/1/2005,66
1/1/2005,66
1/1/2006,66
1/1/2006,66.1
1/1/2006,66.2
1/1/2006,66.1
1/1/2006,66.1
1/1/2006,66.2
1/1/2006,66.1
1/1/2006,66.2
1/1/2006,66.1
1/1/2006,66.2
1/1/2006,66.3
1/1/2006,66.4
1/1/2007,66.4
1/1/2007,66.3
1/1/2007,66.2
1/1/2007,65.9
1/1/2007,66
1/1/2007,66
1/1/2007,66
1/1/2007,65.8
1/1/2007,66
1/1/2007,65.8
1/1/2007,66
1/1/2007,66
1/1/2008,66.2
1/1/2008,66
1/1/2008,66.1
1/1/2008,65.9
1/1/2008,66.1
1/1/2008,66.1
1/1/2008,66.1
1/1/2008,66.1
1/1/2008,66
1/1/2008,66
1/1/2008,65.9
1/1/2008,65.8
1/1/2009,65.7
1/1/2009,65.8
1/1/2009,65.6
1/1/2009,65.7
1/1/2009,65.7
1/1/2009,65.7
1/1/2009,65.5
1/1/2009,65.4
1/1/2009,65.1
1/1/2009,65
1/1/2009,65
1/1/2009,64.6
1/1/2010,64.8
1/1/2010,64.9
1/1/2010,64.9
1/1/2010,65.2
1/1/2010,64.9
1/1/2010,64.6
1/1/2010,64.6
1/1/2010,64.7
1/1/2010,64.6
1/1/2010,64.4
1/1/2010,64.6
1/1/2010,64.3
1/1/2011,64.2
1/1/2011,64.1
1/1/2011,64.2
1/1/2011,64.2
1/1/2011,64.1
1/1/2011,64
1/1/2011,64
1/1/2011,64.1
1/1/2011,64.2
1/1/2011,64.1
1/1/2011,64.1
1/1/2011,64
1/1/2012,63.7
1/1/2012,63.8
1/1/2012,63.8
1/1/2012,63.7
1/1/2012,63.7
1/1/2012,63.8
1/1/2012,63.7
1/1/2012,63.5
1/1/2012,63.6
1/1/2012,63.8
1/1/2012,63.6
1/1/2012,63.7
1/1/2013,63.7
1/1/2013,63.4
1/1/2013,63.3
1/1/2013,63.4
1/1/2013,63.4
1/1/2013,63.4
1/1/2013,63.3
1/1/2013,63.3
1/1/2013,63.2
1/1/2013,62.8
1/1/2013,63
1/1/2013,62.9
1/1/2014,62.9
1/1/2014,62.9
1/1/2014,63.1
1/1/2014,62.8
1/1/2014,62.9
1/1/2014,62.8
1/1/2014,62.9
1/1/2014,62.9
1/1/2014,62.8
1/1/2014,62.9
1/1/2014,62.9
1/1/2014,62.8
1/1/2015,62.9
1/1/2015,62.7
1/1/2015,62.6
1/1/2015,62.8
1/1/2015,62.9
1/1/2015,62.7
1/1/2015,62.6
1/1/2015,62.6
1/1/2015,62.4
1/1/2015,62.5
1/1/2015,62.5
1/1/2015,62.7
1/1/2016,62.7
1/1/2016,62.8
1/1/2016,63
1/1/2016,62.9
1/1/2016,62.7
1/1/2016,62.7
1/1/2016,62.8
1/1/2016,62.9
1/1/2016,62.9
1/1/2016,62.8
1/1/2016,62.7
1/1/2016,62.7
1/1/2017,62.8
1/1/2017,62.8
1/1/2017,63
1/1/2017,63
1/1/2017,62.8
1/1/2017,62.8
1/1/2017,62.9
1/1/2017,62.9
1/1/2017,63
1/1/2017,62.7
1/1/2017,62.7
1/1/2017,62.7
1/1/2018,62.7
1/1/2018,63
1/1/2018,62.9
1/1/2018,62.9
1/1/2018,62.9
1/1/2018,63
1/1/2018,63
1/1/2018,62.7
1/1/2018,62.7
1/1/2018,62.8
1/1/2018,62.9
1/1/2018,63
1/1/2019,63.1
1/1/2019,63.1
1/1/2019,63.1
1/1/2019,62.9
1/1/2019,62.9
1/1/2019,62.9
1/1/2019,63.1
1/1/2019,63.2
1/1/2019,63.1
1/1/2019,63.2
1/1/2019,63.2
1/1/2019,63.3
1/1/2020,63.4
1/1/2020,63.3
1/1/2020,62.6
1/1/2020,60.2
1/1/2020,60.8
1/1/2020,61.4
1/1/2020,61.5
1/1/2020,61.7
1/1/2020,61.4
1/1/2020,61.6
1/1/2020,61.5
1/1/2020,61.5
1/1/2021,61.4
