DATE,CA Retail Trade,FL Retail Trade,MA Retail Trade,NC Retail Trade 
1/1/2004,1593.2,953.1,354.6,430.6
2/1/2004,1599,954,355.5,430.3
3/1/2004,1604.8,955.9,355.9,430.3
4/1/2004,1612.1,958.8,354.1,431.5
5/1/2004,1617.7,962.5,354.7,433.2
6/1/2004,1620,964.3,354.9,433.3
7/1/2004,1618.9,967,355.1,433.8
8/1/2004,1620.2,965.5,354.7,434.6
9/1/2004,1619.4,961.2,354.9,435.6
10/1/2004,1629.2,969.9,356.6,435
11/1/2004,1637.8,976.2,356.3,435.4
12/1/2004,1630.4,981.3,356.4,436.4
1/1/2005,1634.2,982.5,354.3,437.3
2/1/2005,1640.8,987.7,357.1,440.7
3/1/2005,1643.1,990.3,356.4,440.6
4/1/2005,1643.8,996.2,357.1,441.3
5/1/2005,1645.5,1000,355.8,440.1
6/1/2005,1649.5,1003.2,354.7,440.3
7/1/2005,1659.1,1009.9,354.3,443.6
8/1/2005,1665.6,1013,354.4,442.7
9/1/2005,1673.6,1015.7,353.8,443.1
10/1/2005,1674.6,1016.3,352.3,445.1
11/1/2005,1680.4,1011.1,351.1,444.8
12/1/2005,1684.3,1015.8,351.4,445.6
1/1/2006,1657.7,1017.7,353,446.4
2/1/2006,1663.4,1020.1,351.4,445.5
3/1/2006,1668,1023.4,352.2,445
4/1/2006,1674.3,1023.4,352.9,450.8
5/1/2006,1676.3,1022.8,350.8,450.2
6/1/2006,1680.2,1023.5,350,449.7
7/1/2006,1681.5,1023.7,349.4,453
8/1/2006,1686.4,1023.6,349.2,453.8
9/1/2006,1687.4,1023.2,349.2,454.6
10/1/2006,1689,1024.4,349.2,456.4
11/1/2006,1690.1,1025,349.6,459.1
12/1/2006,1686.8,1027.1,350.4,460.4
1/1/2007,1688.1,1028.1,349,463
2/1/2007,1688.8,1028.4,349.1,463.7
3/1/2007,1692,1030,348.8,465.4
4/1/2007,1684.1,1029.8,348.2,465.1
5/1/2007,1686,1032.6,349.5,466.1
6/1/2007,1685.9,1029.8,349.6,466.6
7/1/2007,1692.2,1027.3,349,466.3
8/1/2007,1692.7,1026.1,347.5,466.4
9/1/2007,1688.3,1025.6,346.7,466.8
10/1/2007,1686.9,1022.9,348.2,467.5
11/1/2007,1688.5,1025.6,350.5,469.3
12/1/2007,1689.9,1024,349.6,470.2
1/1/2008,1674.1,1024,351.5,470.5
2/1/2008,1671.2,1022.6,350.6,471.3
3/1/2008,1669.8,1018.9,350.4,470.6
4/1/2008,1665.1,1012.2,349.7,468.8
5/1/2008,1657.4,1007,349.1,465
6/1/2008,1652.7,1002,348.9,464.8
7/1/2008,1648.7,998.7,349,464
8/1/2008,1638,993.9,348.9,462.3
9/1/2008,1630.7,987.6,346.6,461
10/1/2008,1619.4,979.7,345.3,457.8
11/1/2008,1593,969.7,342.9,453.6
12/1/2008,1573.2,962.3,341.1,450.3
1/1/2009,1560.4,954,337.7,445.9
2/1/2009,1548.4,948.1,336.9,443.4
3/1/2009,1536.6,941.5,334.6,440.2
4/1/2009,1525,933.3,332,437.3
5/1/2009,1525.8,933.5,333.5,438.7
6/1/2009,1519.8,931.2,334.8,438.5
7/1/2009,1507.5,927.8,332.6,437.4
8/1/2009,1506.8,926.3,332.9,436.6
9/1/2009,1513.5,925.6,334.1,436.3
10/1/2009,1512.9,924.1,333.9,435.1
11/1/2009,1507.2,924.8,334.5,433.9
12/1/2009,1504.6,921.9,333.6,431.5
1/1/2010,1505.5,926.7,336.7,434.2
2/1/2010,1506.5,927.6,336.4,433.6
3/1/2010,1508.4,929.6,337.3,434.6
4/1/2010,1513.8,931.4,338.6,434.4
5/1/2010,1515,933.3,339,434.8
6/1/2010,1515.9,935.9,338.4,435
7/1/2010,1514.9,934.2,339.4,434.6
8/1/2010,1520.6,935.8,340,435.4
9/1/2010,1520.7,933.5,339,434.8
10/1/2010,1525.4,940.4,340.4,435.6
11/1/2010,1525.6,940,339.7,436.5
12/1/2010,1527.8,943.1,340.4,436.7
1/1/2011,1523.7,943.1,340.7,437.1
2/1/2011,1532.8,944.1,341.9,439.2
3/1/2011,1534.5,945.8,342.2,439.5
4/1/2011,1539.9,950.3,342.8,440.2
5/1/2011,1540.6,951.4,341.9,440.1
6/1/2011,1543.7,951.9,340.9,440.3
7/1/2011,1548,957.8,343,442
8/1/2011,1550,960.2,343.4,442.6
9/1/2011,1553.4,962.6,344.8,443.1
10/1/2011,1555.6,964.4,345,444.2
11/1/2011,1561.3,966.6,345,445.1
12/1/2011,1559.6,967.6,344.8,445
1/1/2012,1562.8,971.4,345.2,449.9
2/1/2012,1559.4,972.4,344.9,448.3
3/1/2012,1561.7,974.8,345.4,449.2
4/1/2012,1562.8,976.2,343.4,449.9
5/1/2012,1565.3,978.4,345.1,451.2
6/1/2012,1567.3,977.9,345.8,452.2
7/1/2012,1568.2,978.3,345.9,452.2
8/1/2012,1567.6,979.2,345.4,450.9
9/1/2012,1571.1,982.2,345.6,453.3
10/1/2012,1573,983.4,346.2,453.1
11/1/2012,1585.9,984.7,347.6,455.7
12/1/2012,1581.4,985.2,346.2,454.7
1/1/2013,1572.4,988.3,345.4,454.6
2/1/2013,1581.4,991.6,346,455.9
3/1/2013,1581.8,992.4,346.4,456.7
4/1/2013,1583.4,995.1,346.8,457.1
5/1/2013,1589.7,997.9,348,458
6/1/2013,1593.3,1003.4,348.2,459.1
7/1/2013,1595.2,1008.3,347.4,461.3
8/1/2013,1596.6,1010.4,348.1,461.9
9/1/2013,1595.4,1012.4,348,463.1
10/1/2013,1602.1,1017.3,347.2,465
11/1/2013,1609.9,1019.9,346.8,465.6
12/1/2013,1617.5,1026.1,348.3,468.1
1/1/2014,1613.9,1027.7,349.2,467.8
2/1/2014,1613.2,1029.2,349.5,465.5
3/1/2014,1617.6,1031.5,350.2,468.5
4/1/2014,1622.4,1037.1,350.3,470.3
5/1/2014,1622.6,1037.5,349.7,470.4
6/1/2014,1626.4,1039.2,348.9,471.2
7/1/2014,1627.2,1040.9,348.5,471.2
8/1/2014,1632.2,1045.8,338.4,472.4
9/1/2014,1632,1049.2,350.4,473.2
10/1/2014,1636.3,1053,351.6,474.8
11/1/2014,1642.5,1059,352.9,477
12/1/2014,1645.7,1062.8,353.2,478.9
1/1/2015,1646.6,1066.7,352.7,478.4
2/1/2015,1648.7,1069.8,350.5,479.5
3/1/2015,1653,1072.3,352.4,480.4
4/1/2015,1653.7,1072.6,352.3,481.4
5/1/2015,1657.6,1075.1,353.8,483
6/1/2015,1657.8,1079.4,353.7,484.8
7/1/2015,1663.7,1080.5,353.4,486.1
8/1/2015,1665.9,1082,353.4,486.3
9/1/2015,1669.2,1081.5,353.1,488.4
10/1/2015,1672.1,1084,353.7,489.5
11/1/2015,1669.9,1083.9,354.3,490
12/1/2015,1665.3,1085.1,354.3,490.3
1/1/2016,1668.8,1084.8,353.6,491.1
2/1/2016,1674.7,1086.3,355.2,492.6
3/1/2016,1676.1,1087.7,356.6,493.3
4/1/2016,1682.2,1090.6,356.1,495.5
5/1/2016,1679.3,1093,355.9,496.1
6/1/2016,1675.9,1093.3,355.4,496.2
7/1/2016,1680.3,1098.5,356.3,496.8
8/1/2016,1681.5,1100,356.3,497.8
9/1/2016,1681.3,1102.7,355.6,499
10/1/2016,1685.3,1103.6,354.6,498.4
11/1/2016,1686.6,1103.9,354,498.9
12/1/2016,1685.2,1104.1,353.7,499.7
1/1/2017,1688.8,1104.1,354.1,499
2/1/2017,1686.7,1103.6,354.1,498.9
3/1/2017,1687.5,1102.3,354.3,499.6
4/1/2017,1695.3,1106.8,356.3,498.2
5/1/2017,1689.5,1105.5,354.8,496.5
6/1/2017,1690.6,1105.5,355.5,498.4
7/1/2017,1686.9,1104.9,355.7,498.8
8/1/2017,1687.5,1105.6,355.8,498.9
9/1/2017,1688.6,1080.5,356,498.6
10/1/2017,1687.6,1107.3,356,499.3
11/1/2017,1686,1110.5,355.1,499.3
12/1/2017,1685.8,1111.6,354.8,499.6
1/1/2018,1690.6,1114,355.2,500.7
2/1/2018,1691.8,1116,356,501.8
3/1/2018,1692.5,1116.2,354.1,502.2
4/1/2018,1688.2,1116,354.6,500.8
5/1/2018,1685.9,1116.4,354.6,501
6/1/2018,1684.9,1116,354.7,500.9
7/1/2018,1684.5,1115.6,354.3,500.8
8/1/2018,1682,1115.5,353.5,501.4
9/1/2018,1681.1,1118.4,352.9,495.3
10/1/2018,1676.9,1114.5,351.8,497.3
11/1/2018,1674,1112.1,353.2,498.3
12/1/2018,1672.7,1108.2,353.6,497.3
1/1/2019,1668.3,1112.5,353.8,502.2
2/1/2019,1666.3,1111,353.8,501
3/1/2019,1664.1,1111.1,353.2,501.4
4/1/2019,1661.4,1109.2,351.5,501.3
5/1/2019,1659.4,1108.4,351,501.2
6/1/2019,1656.1,1106.4,350.4,501.2
7/1/2019,1655,1110.3,350.6,501.1
8/1/2019,1652.9,1110.4,350.5,500.5
9/1/2019,1648.4,1108.7,350.2,500.1
10/1/2019,1649.8,1109.8,349.8,498.7
11/1/2019,1648.3,1107,349.4,497.7
12/1/2019,1650.3,1111.4,350.1,496
1/1/2020,1653.8,1116.3,351.9,498.8
2/1/2020,1654.9,1114.4,351.4,497.7
3/1/2020,1648,1116.1,352,494.1
4/1/2020,1375.5,994.6,277.4,441.8
5/1/2020,1391.3,1015.4,278.2,455.6
6/1/2020,1469.9,1063.6,304.3,475
7/1/2020,1496.5,1070.4,316.2,480.7
8/1/2020,1508.5,1072.5,324.2,484.7
9/1/2020,1532.4,1082.5,329.4,490.4
10/1/2020,1549,1083,331.2,494
11/1/2020,1544.9,1078.8,333.2,489.8
12/1/2020,1544.7,1087.4,335.9,498
